id,denekId,sayac,yatirim,rakip,secim,secimsure,kazanc,toplam,PE_raw,V_value,PE_normalized,group
4283,10091,55,1,1,1,546,60,2140,0.9529682006072218,5.047031799392778,0.2738202270128212,0
4284,10091,56,1,1,1,795,60,2200,0.653909452562119,5.346090547437881,0.17452235119135917,0
4285,10091,57,1,1,1,655,60,2260,0.44870077708535216,5.551299222914648,0.106385954218596,0
4286,10091,58,1,0,1,764,0,2260,-5.692109684959978,5.692109684959978,-1.932576084809766,0
4287,10091,59,0,1,1,999,20,2280,-1.9058221729161744,3.9058221729161744,-0.6753973209283106,0
4351,10094,0,1,1,1,1638,60,60,5.0,1.0,1.8733743887338135,0
4352,10094,1,1,1,1,718,60,120,2.3713636363636366,3.6286363636363634,0.9727263899615927,0
4353,10094,2,0,1,1,780,20,140,-2.8753269008264457,4.875326900826446,-0.8249438385520282,0
4354,10094,3,1,1,1,483,60,200,1.1246730991735543,4.875326900826446,0.5455736072711678,0
4355,10094,4,0,1,1,530,20,220,-3.466598221964688,5.466598221964688,-1.0275307537607508,0
4356,10094,5,1,1,1,453,60,280,0.5334017780353122,5.466598221964688,0.3429866920624452,0
4357,10094,6,1,1,1,546,60,340,0.2529779160009298,5.74702208399907,0.24690524327663566,0
4358,10094,7,0,1,1,406,20,360,-3.880019473838468,5.880019473838468,-1.169181013302521,0
4359,10094,8,1,0,1,406,0,360,-5.880019473838468,5.880019473838468,-1.854439736214119,0
4360,10094,9,1,1,1,546,60,420,3.211267127725883,2.788732872274117,1.2605019868915353,0
4361,10094,10,1,0,1,780,0,420,-4.476983581332188,4.476983581332188,-1.3737184442651253,0
4362,10094,11,0,1,1,608,20,440,-0.1233112130736389,2.123311213073639,0.11797753925905749,0
4363,10094,12,1,1,1,515,60,500,3.876688786926361,2.123311213073639,1.4884949850822535,0
4364,10094,13,1,1,1,561,60,560,1.8386077637631661,4.161392236236834,0.7901885855206665,0
4365,10094,14,0,1,1,468,20,580,-3.127998481495233,5.127998481495233,-0.9115165408946022,0
4366,10094,15,1,1,1,546,60,640,0.8720015185047671,5.127998481495233,0.4590009049285938,0
4367,10094,16,1,0,1,312,0,640,-5.586433461632785,5.586433461632785,-1.7538485483197312,0
4368,10094,17,0,1,1,484,20,660,-0.6494930335762037,2.6494930335762037,-0.062307801909386125,0
4369,10094,18,1,1,1,312,60,720,3.3505069664237963,2.6494930335762037,1.3082096439138098,0
4370,10094,19,1,0,1,374,0,720,-4.410945923287914,4.410945923287914,-1.3510920036573792,0
4371,10094,20,0,1,1,531,20,740,-0.09199135289027671,2.0919913528902767,0.12870864295456777,0
4372,10094,21,1,1,1,593,60,800,3.9080086471097233,2.0919913528902767,1.4992260887777638,0
4373,10094,22,0,1,1,436,20,820,-2.1465380807298704,4.14653808072987,-0.5752393904862134,0
4374,10094,23,1,1,1,312,60,880,1.8534619192701296,4.14653808072987,0.7952780553369825,0
